step,epoch,train_loss,val_loss,learning_rate,gpu_memory_gb,elapsed_sec,timestamp
1150,3,0.328186,,1.468341020326971e-06,83.2,17344.0,2026-03-19 03:51:05
1160,3,0.317344,,1.3916537927573415e-06,83.2,17491.4,2026-03-19 03:53:32
1170,3,0.319425,,1.316698343403302e-06,83.2,17638.9,2026-03-19 03:55:59
1180,3,0.329748,,1.243510646145093e-06,83.2,17786.2,2026-03-19 03:58:27
1190,3,0.32981,,1.1721258264536338e-06,83.2,17933.6,2026-03-19 04:00:54
1200,3,0.332103,,1.10257814453251e-06,83.2,18081.0,2026-03-19 04:03:22
1210,3,0.327904,,1.0349009788752396e-06,83.2,18228.3,2026-03-19 04:05:49
1220,3,0.331102,,9.691268102457107e-07,83.2,18375.7,2026-03-19 04:08:16
1230,3,0.339173,,9.052872060894613e-07,83.2,18523.1,2026-03-19 04:10:44
1240,3,0.320872,,8.434128053833007e-07,83.2,18670.5,2026-03-19 04:13:11
1250,3,0.331677,,7.835333039305404e-07,83.2,18817.9,2026-03-19 04:15:38
1250,3,,0.338897,,83.2,18858.4,2026-03-19 04:16:19
1260,3,0.329464,,7.256774401088817e-07,83.2,19060.2,2026-03-19 04:19:41
1270,3,0.326616,,6.698729810778065e-07,83.2,19207.7,2026-03-19 04:22:08
1280,3,0.328063,,6.161467094521035e-07,83.2,19355.2,2026-03-19 04:24:36
1290,3,0.332755,,5.645244104478947e-07,83.2,19502.6,2026-03-19 04:27:03
1300,3,0.336888,,5.150308595073694e-07,83.2,19650.1,2026-03-19 04:29:31
1310,3,0.326784,,4.6768981040813343e-07,83.2,19797.5,2026-03-19 04:31:58
1320,3,0.336572,,4.225239838628981e-07,83.2,19944.8,2026-03-19 04:34:25
1330,3,0.331084,,3.7955505661496916e-07,83.2,20092.3,2026-03-19 04:36:53
1340,3,0.333154,,3.388036510347864e-07,83.2,20239.7,2026-03-19 04:39:20
1350,3,0.322251,,3.0028932522248256e-07,83.2,20387.1,2026-03-19 04:41:48
1360,3,0.331839,,2.640305636212348e-07,83.2,20534.4,2026-03-19 04:44:15
1370,3,0.330323,,2.3004476814589838e-07,83.2,20681.9,2026-03-19 04:46:42
1380,3,0.331084,,1.9834824983118673e-07,83.2,20829.3,2026-03-19 04:49:10
1390,3,0.320512,,1.6895622100340404e-07,83.2,20976.7,2026-03-19 04:51:37
1400,3,0.319518,,1.4188278797949317e-07,83.2,21124.2,2026-03-19 04:54:05
1410,3,0.320333,,1.1714094429689127e-07,83.2,21271.6,2026-03-19 04:56:32
1420,3,0.339078,,9.474256447745578e-08,83.2,21419.0,2026-03-19 04:59:00
1430,3,0.323853,,7.46983983284405e-08,83.2,21566.4,2026-03-19 05:01:27
1440,3,0.330286,,5.701806578327029e-08,83.2,21713.8,2026-03-19 05:03:54
1450,3,0.336179,,4.1710052284578696e-08,83.2,21861.1,2026-03-19 05:06:22
1460,3,0.33263,,2.878170471173447e-08,83.2,22008.5,2026-03-19 05:08:49
1470,3,0.333896,,1.8239227854799368e-08,83.2,22156.0,2026-03-19 05:11:17
1480,3,0.336972,,1.0087681436625197e-08,83.2,22303.4,2026-03-19 05:13:44
1490,3,0.323388,,4.3309776845035235e-09,83.2,22450.8,2026-03-19 05:16:11
1500,3,0.333269,,9.71879452545399e-10,83.2,22598.2,2026-03-19 05:18:39
1500,3,,0.338795,,83.2,22638.7,2026-03-19 05:19:19
